id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
2021-1184782,2021-11-30,1,Vente,204050.0,29.0,None,RUE MOLIERE,1720,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0174,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,72.0,4.0,S,sols,None,None,413.0,1.077859,49.403703,000AC
2021-1184028,2021-10-27,1,Vente,130000.0,38.0,None,RUE RACINE,2140,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0252,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,57.0,3.0,S,sols,None,None,273.0,1.078387,49.402549,000AC
2021-1184028,2021-10-27,1,Vente,130000.0,38.0,None,RUE RACINE,2140,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0252,None,None,None,,None,,None,,None,None,None,None,0,3,Dépendance,,0.0,S,sols,None,None,273.0,1.078387,49.402549,000AC
2021-1183901,2021-10-22,1,Vente,66000.0,8.0,None,RUE RASPAIL,2150,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0152,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,37.0,2.0,S,sols,None,None,183.0,1.076965,49.404153,000AC
2021-1183901,2021-10-22,1,Vente,66000.0,8.0,None,RUE RASPAIL,2150,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0152,None,None,None,,None,,None,,None,None,None,None,0,3,Dépendance,,0.0,S,sols,None,None,183.0,1.076965,49.404153,000AC
2021-1183901,2021-10-22,1,Vente,66000.0,8.0,None,RUE RASPAIL,2150,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0152,None,None,None,,None,,None,,None,None,None,None,0,3,Dépendance,,0.0,S,sols,None,None,183.0,1.076965,49.404153,000AC
2021-1183901,2021-10-22,1,Vente,66000.0,8.0,None,RUE RASPAIL,2150,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0152,None,None,None,,None,,None,,None,None,None,None,0,3,Dépendance,,0.0,S,sols,None,None,183.0,1.076965,49.404153,000AC
2021-1183795,2021-10-20,1,Vente,260000.0,1.0,None,RUE RASPAIL,2150,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0117,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,107.0,7.0,S,sols,None,None,303.0,1.076107,49.404548,000AC
2021-1183795,2021-10-20,1,Vente,260000.0,1.0,None,RUE RASPAIL,2150,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0117,None,None,None,,None,,None,,None,None,None,None,0,3,Dépendance,,0.0,S,sols,None,None,303.0,1.076107,49.404548,000AC
2021-1184044,2021-10-14,1,Vente,350000.0,14.0,None,RUE RASPAIL,2150,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0149,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,159.0,5.0,S,sols,None,None,492.0,1.077538,49.40404,000AC
2021-1183306,2021-09-30,1,Vente,165000.0,9.0,None,RUE GUYNEMER,1100,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0500,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,68.0,4.0,S,sols,None,None,408.0,1.079612,49.397975,000AC
2021-1182584,2021-08-27,1,Vente,170000.0,34.0,None,RUE GUYNEMER,1100,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0523,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,75.0,3.0,S,sols,None,None,612.0,1.078997,49.397719,000AC
2021-1182584,2021-08-27,1,Vente,170000.0,34.0,None,RUE GUYNEMER,1100,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0523,None,None,None,,None,,None,,None,None,None,None,0,3,Dépendance,,0.0,S,sols,None,None,612.0,1.078997,49.397719,000AC
2021-1182584,2021-08-27,1,Vente,170000.0,34.0,None,RUE GUYNEMER,1100,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0523,None,None,None,,None,,None,,None,None,None,None,0,3,Dépendance,,0.0,S,sols,None,None,612.0,1.078997,49.397719,000AC
2021-1182584,2021-08-27,1,Vente,170000.0,34.0,None,RUE GUYNEMER,1100,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0523,None,None,None,,None,,None,,None,None,None,None,0,3,Dépendance,,0.0,S,sols,None,None,612.0,1.078997,49.397719,000AC
2021-1182347,2021-08-19,1,Vente,251500.0,10.0,None,RUE PHILIPPE PINEL,1980,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0484,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,79.0,4.0,S,sols,None,None,411.0,1.079437,49.398795,000AC
2021-1182637,2021-08-17,1,Vente,231850.0,6.0,None,RUE RASPAIL,2150,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0155,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,106.0,5.0,S,sols,None,None,378.0,1.076717,49.404079,000AC
2021-1182637,2021-08-17,1,Vente,231850.0,6.0,None,RUE RASPAIL,2150,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0155,None,None,None,,None,,None,,None,None,None,None,0,3,Dépendance,,0.0,S,sols,None,None,378.0,1.076717,49.404079,000AC
2021-1182637,2021-08-17,1,Vente,231850.0,6.0,B,RUE RASPAIL,2150,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0154,None,None,None,,None,,None,,None,None,None,None,0,None,None,,,S,sols,None,None,93.0,1.076852,49.404085,000AC
2021-1182015,2021-08-02,1,Vente,156000.0,8.0,None,RUE RENE LAENNEC,2170,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0496,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,60.0,3.0,S,sols,None,None,481.0,1.079437,49.398315,000AC
2021-1181839,2021-07-19,1,Vente,241000.0,25.0,None,RUE MOLIERE,1720,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0172,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,99.0,6.0,S,sols,None,None,493.0,1.077537,49.403739,000AC
2021-1181839,2021-07-19,1,Vente,241000.0,25.0,None,RUE MOLIERE,1720,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0172,None,None,None,,None,,None,,None,None,None,None,0,3,Dépendance,,0.0,S,sols,None,None,493.0,1.077537,49.403739,000AC
2021-1181701,2021-07-16,1,Vente,260400.0,41.0,None,RUE ROLAND GARROS,2220,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0537,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,80.0,4.0,S,sols,None,None,475.0,1.07894,49.397477,000AC
2021-1181657,2021-07-15,1,Vente,204000.0,5.0,None,RUE MOLIERE,1720,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0161,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,90.0,5.0,S,sols,None,None,322.0,1.07606,49.403827,000AC
2021-1181898,2021-07-09,1,Vente,72500.0,27.0,None,RUE JEAN DE LA FONTAINE,1280,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0283,None,None,13,,14,,3,68.17,None,None,None,None,3,2,Appartement,67.0,4.0,None,None,None,None,,1.078653,49.402246,000AC
2021-1181898,2021-07-09,1,Vente,72500.0,27.0,None,RUE JEAN DE LA FONTAINE,1280,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0283,None,None,13,,14,,3,68.17,None,None,None,None,3,3,Dépendance,,0.0,None,None,None,None,,1.078653,49.402246,000AC
2021-1181898,2021-07-09,1,Vente,72500.0,27.0,None,RUE JEAN DE LA FONTAINE,1280,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0283,None,None,23,,None,,None,,None,None,None,None,1,3,Dépendance,,0.0,None,None,None,None,,1.078653,49.402246,000AC
2021-1181898,2021-07-09,1,Vente,72500.0,27.0,None,RUE JEAN DE LA FONTAINE,1280,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0283,None,None,13,,14,,3,68.17,None,None,None,None,3,3,Dépendance,,0.0,None,None,None,None,,1.078653,49.402246,000AC
2021-1181898,2021-07-09,1,Vente,72500.0,27.0,None,RUE JEAN DE LA FONTAINE,1280,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0283,None,None,13,,14,,3,68.17,None,None,None,None,3,3,Dépendance,,0.0,None,None,None,None,,1.078653,49.402246,000AC
2021-1180889,2021-06-18,1,Vente,145000.0,16.0,B,RUE RASPAIL,2150,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0147,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,57.0,2.0,S,sols,None,None,312.0,1.077848,49.404039,000AC
2021-1180889,2021-06-18,1,Vente,145000.0,16.0,B,RUE RASPAIL,2150,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0147,None,None,None,,None,,None,,None,None,None,None,0,3,Dépendance,,0.0,S,sols,None,None,312.0,1.077848,49.404039,000AC
2021-1180889,2021-06-18,1,Vente,145000.0,16.0,B,RUE RASPAIL,2150,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0147,None,None,None,,None,,None,,None,None,None,None,0,3,Dépendance,,0.0,S,sols,None,None,312.0,1.077848,49.404039,000AC
2021-1180599,2021-05-31,1,Vente,600000.0,59.0,None,RUE RACINE,2140,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0605,None,None,1,80.63,None,,None,,None,None,None,None,1,1,Maison,115.0,5.0,None,None,None,None,,1.079995,49.402757,000AC
2021-1180599,2021-05-31,1,Vente,600000.0,59.0,None,RUE RACINE,2140,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0605,None,None,2,209.9,None,,None,,None,None,None,None,1,4,Local industriel. commercial ou assimilé,40.0,0.0,None,None,None,None,,1.079995,49.402757,000AC
2021-1180091,2021-05-12,1,Vente,150000.0,8.0,None,RUE JOLIOT CURIE,1340,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0398,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,78.0,4.0,S,sols,None,None,346.0,1.076114,49.399949,000AC
2021-1180359,2021-05-12,1,Vente,181000.0,23.0,None,RUE JOLIOT CURIE,1340,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0434,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,78.0,4.0,S,sols,None,None,428.0,1.079171,49.400158,000AC
2021-1180093,2021-05-11,1,Vente,161000.0,18.0,None,RUE JOLIOT CURIE,1340,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0450,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,70.0,4.0,S,sols,None,None,370.0,1.077393,49.399939,000AC
2021-1180426,2021-05-07,1,Vente,173000.0,24.0,None,RUE JOLIOT CURIE,1340,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0453,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,78.0,4.0,S,sols,None,None,370.0,1.078059,49.399866,000AC
2021-1179720,2021-04-26,1,Vente,260000.0,44.0,None,RUE GUYNEMER,1100,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0737,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,81.0,6.0,S,sols,None,None,542.0,1.079988,49.397534,000AC
2021-1179391,2021-03-26,1,Vente,157000.0,6.0,None,RUE PHILIPPE PINEL,1980,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0482,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,55.0,3.0,S,sols,None,None,411.0,1.078952,49.398825,000AC
2021-1179332,2021-03-11,1,Vente,185500.0,51.0,None,RUE JEAN PERRIN,1330,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0329,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,78.0,5.0,S,sols,None,None,550.0,1.078527,49.401623,000AC
2021-1179332,2021-03-11,1,Vente,185500.0,51.0,None,RUE JEAN PERRIN,1330,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0329,None,None,None,,None,,None,,None,None,None,None,0,3,Dépendance,,0.0,S,sols,None,None,550.0,1.078527,49.401623,000AC
2021-1178942,2021-03-10,1,Vente,205000.0,77.0,None,RUE DU MADRILLET,1580,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0698,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,100.0,4.0,S,sols,None,None,262.0,1.074916,49.400845,000AC
2021-1178942,2021-03-10,1,Vente,205000.0,77.0,None,RUE DU MADRILLET,1580,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0699,None,None,None,,None,,None,,None,None,None,None,0,None,None,,,S,sols,None,None,19.0,1.074921,49.400877,000AC
2021-1178942,2021-03-10,1,Vente,205000.0,77.0,None,RUE DU MADRILLET,1580,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0700,None,None,None,,None,,None,,None,None,None,None,0,None,None,,,S,sols,None,None,5.0,1.074837,49.400831,000AC
2021-1179225,2021-03-04,1,Vente,130000.0,101.0,None,RUE DU MADRILLET,1580,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0002,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,90.0,4.0,S,sols,None,None,607.0,1.074497,49.397955,000AC
2021-1179225,2021-03-04,1,Vente,130000.0,101.0,None,RUE DU MADRILLET,1580,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0002,None,None,None,,None,,None,,None,None,None,None,0,3,Dépendance,,0.0,S,sols,None,None,607.0,1.074497,49.397955,000AC
2021-1178123,2021-02-01,1,Vente,178000.0,49.0,None,RUE JEAN PERRIN,1330,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0355,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,86.0,4.0,S,sols,None,None,325.0,1.078456,49.401439,000AC
2021-1178412,2021-01-19,1,Vente,147500.0,5.0,None,RUE GUYNEMER,1100,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0502,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,82.0,4.0,S,sols,None,None,423.0,1.079193,49.3981,000AC
2021-1177926,2021-01-11,1,Vente,159000.0,7.0,None,RUE DU MADRILLET,1580,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0067,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,54.0,3.0,S,sols,None,None,291.0,1.076078,49.405689,000AC
2021-1177926,2021-01-11,1,Vente,159000.0,7.0,None,RUE DU MADRILLET,1580,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0067,None,None,None,,None,,None,,None,None,None,None,0,3,Dépendance,,0.0,S,sols,None,None,291.0,1.076078,49.405689,000AC
2021-1177926,2021-01-11,1,Vente,159000.0,7.0,None,RUE DU MADRILLET,1580,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0067,None,None,None,,None,,None,,None,None,None,None,0,3,Dépendance,,0.0,S,sols,None,None,291.0,1.076078,49.405689,000AC
2020-1066342,2020-12-15,1,Vente,170000.0,14.0,None,RUE M BERTHELOT,1600,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0426,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,67.0,4.0,S,sols,None,None,452.0,1.079283,49.400342,000AC
2020-1066113,2020-11-27,1,Vente,145000.0,6.0,None,RUE JOLIOT CURIE,1340,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0399,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,78.0,5.0,S,sols,None,None,354.0,1.075995,49.399959,000AC
2020-1066009,2020-11-26,1,Vente,150000.0,47.0,None,RUE RACINE,2140,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0235,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,58.0,3.0,S,sols,None,None,458.0,1.07922,49.402886,000AC
2020-1065458,2020-11-09,2,Vente,42000.0,19.0,B,RUE ROLAND GARROS,2220,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0768,None,None,None,,None,,None,,None,None,None,None,0,None,None,,,S,sols,None,None,401.0,1.076216,49.397798,000AC
2020-1065693,2020-10-27,1,Vente,207500.0,2.0,None,RUE DE BUFFON,350,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0116,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,82.0,4.0,S,sols,None,None,383.0,1.076201,49.404779,000AC
2020-1064961,2020-10-07,1,Vente,233500.0,20.0,None,RUE RASPAIL,2150,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0145,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,124.0,3.0,S,sols,None,None,292.0,1.078141,49.404007,000AC
2020-1064647,2020-10-05,1,Vente,179000.0,91.0,None,RUE JEAN PERRIN,1330,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0337,None,None,None,,None,,None,,None,None,None,None,0,1,Maison,80.0,5.0,S,sols,None,None,161.0,1.080679,49.401056,000AC
2020-1064647,2020-10-05,1,Vente,179000.0,91.0,None,RUE JEAN PERRIN,1330,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0583,None,None,None,,None,,None,,None,None,None,None,0,3,Dépendance,,0.0,S,sols,None,None,18.0,1.080302,49.401376,000AC
2020-1064647,2020-10-05,1,Vente,179000.0,,None,RUE JEAN PERRIN,1330,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0589,None,None,None,,None,,None,,None,None,None,None,0,None,None,,,S,sols,None,None,140.0,1.080389,49.401189,000AC
2020-1064647,2020-10-05,1,Vente,179000.0,,None,RUE JEAN PERRIN,1330,76800,76575,Saint-Étienne-du-Rouvray,76,None,None,76575000AC0590,None,None,None,,None,,None,,None,None,None,None,0,None,None,,,S,sols,None,None,391.0,1.080152,49.401229,000AC
